Game #,Round,Away ID,Away Num,Away Abbr,Away Team,Home ID,Home Num,Home Abbr,Home Team,Matchup
288,21,845,12,MGG,"Minnesota Golden Gophers",838,37,HAM,"Hamilton Mustangs","MGG @ HAM"
289,21,839,9,HIG,"Highland Wolf",849,30,PRO,"Providence Sea Bass","HIG @ PRO"
290,21,850,19,RIC,"Richfield Oracles",851,66,ROC,"Rockford Villains","RIC @ ROC"
291,21,859,63,WDY,"Woodlynne Rats",846,26,NBK,"North Bay Knights","WDY @ NBK"
292,21,852,60,SHS,"South Hills Shindigaz",854,21,SUM,"Sumter Trash","SHS @ SUM"
293,21,856,24,TEG,"Tegucigalpa Ticklepuss",853,20,SVF,"Sugar Valley Firebirds","TEG @ SVF"
294,21,855,28,TAI,"Taipei Typhoons",857,29,TBP,"Thunder Bay Pike","TAI @ TBP"
295,22,831,2,AUT,"Autobahn",839,9,HIG,"Highland Wolf","AUT @ HIG"
296,22,832,65,BAR,"Barrie Dolts",840,50,ING,"Inglewood Monstars","BAR @ ING"
297,22,841,14,ITA,"Italy EBC",833,49,BAY,"Baytown Thunder","ITA @ BAY"
298,22,834,58,BFC,"Betty Ford Clinic",842,39,MHA,"Maryhill Alumni","BFC @ MHA"
299,22,843,54,KAR,"Karolina Kaos",835,67,DHG,"Devil Hill Goblins","KAR @ DHG"
300,22,836,18,ETI,"Easter Island Stoneheads",844,13,MHT,"Minhattrick Swayzes","ETI @ MHT"
301,22,845,12,MGG,"Minnesota Golden Gophers",837,25,GRH,"Grand River Herons","MGG @ GRH"
302,22,838,37,HAM,"Hamilton Mustangs",847,51,OCW,"Orange County Weststars","HAM @ OCW"
303,22,850,19,RIC,"Richfield Oracles",848,17,PIT,"Pitt Intramurals","RIC @ PIT"
304,22,849,30,PRO,"Providence Sea Bass",851,66,ROC,"Rockford Villains","PRO @ ROC"
305,22,859,63,WDY,"Woodlynne Rats",854,21,SUM,"Sumter Trash","WDY @ SUM"
306,22,846,26,NBK,"North Bay Knights",852,60,SHS,"South Hills Shindigaz","NBK @ SHS"
307,22,855,28,TAI,"Taipei Typhoons",853,20,SVF,"Sugar Valley Firebirds","TAI @ SVF"
308,22,857,29,TBP,"Thunder Bay Pike",858,15,VHV,"Valhalla Vikings","TBP @ VHV"
309,23,838,37,HAM,"Hamilton Mustangs",831,2,AUT,"Autobahn","HAM @ AUT"
310,23,839,9,HIG,"Highland Wolf",832,65,BAR,"Barrie Dolts","HIG @ BAR"
311,23,833,49,BAY,"Baytown Thunder",840,50,ING,"Inglewood Monstars","BAY @ ING"
312,23,834,58,BFC,"Betty Ford Clinic",841,14,ITA,"Italy EBC","BFC @ ITA"
313,23,835,67,DHG,"Devil Hill Goblins",842,39,MHA,"Maryhill Alumni","DHG @ MHA"
314,23,843,54,KAR,"Karolina Kaos",836,18,ETI,"Easter Island Stoneheads","KAR @ ETI"
315,23,837,25,GRH,"Grand River Herons",844,13,MHT,"Minhattrick Swayzes","GRH @ MHT"
