Game #,Round,Away ID,Away Num,Away Abbr,Away Team,Home ID,Home Num,Home Abbr,Home Team,Matchup
494,36,856,24,TEG,"Tegucigalpa Ticklepuss",851,66,ROC,"Rockford Villains","TEG @ ROC"
495,36,850,19,RIC,"Richfield Oracles",835,67,DHG,"Devil Hill Goblins","RIC @ DHG"
496,36,857,29,TBP,"Thunder Bay Pike",849,30,PRO,"Providence Sea Bass","TBP @ PRO"
497,36,848,17,PIT,"Pitt Intramurals",837,25,GRH,"Grand River Herons","PIT @ GRH"
498,36,858,15,VHV,"Valhalla Vikings",847,51,OCW,"Orange County Weststars","VHV @ OCW"
499,36,846,26,NBK,"North Bay Knights",839,9,HIG,"Highland Wolf","NBK @ HIG"
500,36,840,50,ING,"Inglewood Monstars",845,12,MGG,"Minnesota Golden Gophers","ING @ MGG"
501,36,859,63,WDY,"Woodlynne Rats",841,14,ITA,"Italy EBC","WDY @ ITA"
502,36,844,13,MHT,"Minhattrick Swayzes",842,39,MHA,"Maryhill Alumni","MHT @ MHA"
503,36,838,37,HAM,"Hamilton Mustangs",834,58,BFC,"Betty Ford Clinic","HAM @ BFC"
504,36,832,65,BAR,"Barrie Dolts",836,18,ETI,"Easter Island Stoneheads","BAR @ ETI"
505,37,853,20,SVF,"Sugar Valley Firebirds",831,2,AUT,"Autobahn","SVF @ AUT"
506,37,852,60,SHS,"South Hills Shindigaz",832,65,BAR,"Barrie Dolts","SHS @ BAR"
507,37,854,21,SUM,"Sumter Trash",851,66,ROC,"Rockford Villains","SUM @ ROC"
508,37,850,19,RIC,"Richfield Oracles",834,58,BFC,"Betty Ford Clinic","RIC @ BFC"
